Starting training for 1000 steps...
Step 0001 | Loss: 10.700221 | Recall@32: 0.000 | Sparsity: 0.531 | StepTime: 83.696s
Step 0002 | Loss: 8083.786133 | Recall@32: 0.000 | Sparsity: 0.751 | StepTime: 63.732s
Step 0003 | Loss: 2239.102539 | Recall@32: 0.000 | Sparsity: 0.723 | StepTime: 76.882s
Step 0004 | Loss: 240.610397 | Recall@32: 0.000 | Sparsity: 0.801 | StepTime: 77.042s
Step 0005 | Loss: 143.976349 | Recall@32: 0.000 | Sparsity: 0.886 | StepTime: 68.263s
Step 0006 | Loss: 1167.954712 | Recall@32: 0.000 | Sparsity: 0.827 | StepTime: 79.255s
Step 0007 | Loss: 1353.898071 | Recall@32: 0.000 | Sparsity: 0.843 | StepTime: 63.803s
Step 0008 | Loss: 385.728882 | Recall@32: 0.000 | Sparsity: 0.939 | StepTime: 64.044s
Step 0009 | Loss: 105.682854 | Recall@32: 0.000 | Sparsity: 0.925 | StepTime: 77.987s
Step 0010 | Loss: 632.599731 | Recall@32: 0.000 | Sparsity: 0.902 | StepTime: 90.549s
Step 0011 | Loss: 0.083932 | Recall@32: 1.000 | Sparsity: 0.891 | StepTime: 78.373s
Step 0012 | Loss: 1227.447266 | Recall@32: 0.000 | Sparsity: 0.885 | StepTime: 66.314s
Step 0013 | Loss: 525.616272 | Recall@32: 0.000 | Sparsity: 0.883 | StepTime: 66.086s
Step 0014 | Loss: 0.094076 | Recall@32: 1.000 | Sparsity: 0.884 | StepTime: 65.466s
Step 0015 | Loss: 0.089727 | Recall@32: 1.000 | Sparsity: 0.883 | StepTime: 64.374s
Step 0016 | Loss: 0.092079 | Recall@32: 1.000 | Sparsity: 0.881 | StepTime: 46.796s
Step 0017 | Loss: 0.108183 | Recall@32: 1.000 | Sparsity: 0.880 | StepTime: 43.913s
Step 0018 | Loss: 11960.254883 | Recall@32: 0.000 | Sparsity: 0.878 | StepTime: 72.627s
Step 0019 | Loss: 0.104086 | Recall@32: 1.000 | Sparsity: 0.873 | StepTime: 60.748s
Step 0020 | Loss: 0.093398 | Recall@32: 1.000 | Sparsity: 0.872 | StepTime: 72.746s
Saved checkpoint: checkpoints/c2fab_weights_step_020.pt
Step 0021 | Loss: 0.093713 | Recall@32: 1.000 | Sparsity: 0.871 | StepTime: 70.747s
Step 0022 | Loss: 0.095012 | Recall@32: 1.000 | Sparsity: 0.870 | StepTime: 64.588s
Step 0023 | Loss: 0.094868 | Recall@32: 1.000 | Sparsity: 0.869 | StepTime: 58.855s
Step 0024 | Loss: 20468.759766 | Recall@32: 0.000 | Sparsity: 0.869 | StepTime: 86.326s
Step 0025 | Loss: 0.094945 | Recall@32: 1.000 | Sparsity: 0.866 | StepTime: 87.440s
Step 0026 | Loss: 0.097253 | Recall@32: 1.000 | Sparsity: 0.850 | StepTime: 58.500s
Step 0027 | Loss: 0.097005 | Recall@32: 1.000 | Sparsity: 0.921 | StepTime: 46.655s
Step 0028 | Loss: 0.114036 | Recall@32: 1.000 | Sparsity: 0.816 | StepTime: 54.604s
Step 0029 | Loss: 0.102661 | Recall@32: 1.000 | Sparsity: 0.849 | StepTime: 60.659s
Step 0030 | Loss: 0.104809 | Recall@32: 1.000 | Sparsity: 0.889 | StepTime: 68.380s
Step 0031 | Loss: 0.112155 | Recall@32: 1.000 | Sparsity: 0.760 | StepTime: 71.480s
Step 0032 | Loss: 0.124763 | Recall@32: 1.000 | Sparsity: 0.772 | StepTime: 62.327s
Step 0033 | Loss: 0.125652 | Recall@32: 1.000 | Sparsity: 0.777 | StepTime: 47.926s
Step 0034 | Loss: 0.123270 | Recall@32: 1.000 | Sparsity: 0.863 | StepTime: 58.970s
Step 0035 | Loss: 0.127563 | Recall@32: 1.000 | Sparsity: 0.789 | StepTime: 67.619s
Step 0036 | Loss: 0.125044 | Recall@32: 1.000 | Sparsity: 0.850 | StepTime: 59.487s
Step 0037 | Loss: 0.126076 | Recall@32: 1.000 | Sparsity: 0.846 | StepTime: 57.231s
Step 0038 | Loss: 0.125251 | Recall@32: 1.000 | Sparsity: 0.871 | StepTime: 56.234s
Step 0039 | Loss: 0.126937 | Recall@32: 1.000 | Sparsity: 0.850 | StepTime: 55.915s
Step 0040 | Loss: 0.128434 | Recall@32: 1.000 | Sparsity: 0.824 | StepTime: 64.114s
Saved checkpoint: checkpoints/c2fab_weights_step_040.pt
Step 0041 | Loss: 0.126216 | Recall@32: 1.000 | Sparsity: 0.870 | StepTime: 81.204s
Step 0042 | Loss: 0.126621 | Recall@32: 1.000 | Sparsity: 0.867 | StepTime: 61.993s
Step 0043 | Loss: 0.131824 | Recall@32: 1.000 | Sparsity: 0.772 | StepTime: 85.925s
Step 0044 | Loss: 0.131135 | Recall@32: 1.000 | Sparsity: 0.788 | StepTime: 64.267s
Step 0045 | Loss: 0.131263 | Recall@32: 1.000 | Sparsity: 0.787 | StepTime: 63.744s
Step 0046 | Loss: 0.127375 | Recall@32: 1.000 | Sparsity: 0.869 | StepTime: 84.998s
Step 0047 | Loss: 0.126113 | Recall@32: 1.000 | Sparsity: 0.891 | StepTime: 63.547s
Step 0048 | Loss: 0.131397 | Recall@32: 1.000 | Sparsity: 0.798 | StepTime: 70.614s
Step 0049 | Loss: 0.129593 | Recall@32: 1.000 | Sparsity: 0.836 | StepTime: 53.596s
Step 0050 | Loss: 0.132843 | Recall@32: 1.000 | Sparsity: 0.779 | StepTime: 58.898s
Step 0051 | Loss: 0.134156 | Recall@32: 1.000 | Sparsity: 0.757 | StepTime: 70.679s
Step 0052 | Loss: 0.133515 | Recall@32: 1.000 | Sparsity: 0.771 | StepTime: 60.846s
Step 0053 | Loss: 0.134867 | Recall@32: 1.000 | Sparsity: 0.749 | StepTime: 68.596s
Step 0054 | Loss: 0.133482 | Recall@32: 1.000 | Sparsity: 0.772 | StepTime: 63.710s
Step 0055 | Loss: 0.132316 | Recall@32: 1.000 | Sparsity: 0.796 | StepTime: 42.877s
Step 0056 | Loss: 0.129866 | Recall@32: 1.000 | Sparsity: 0.848 | StepTime: 43.942s
Step 0057 | Loss: 0.133373 | Recall@32: 1.000 | Sparsity: 0.782 | StepTime: 85.890s
Step 0058 | Loss: 0.129867 | Recall@32: 1.000 | Sparsity: 0.844 | StepTime: 74.398s
Step 0059 | Loss: 0.130513 | Recall@32: 1.000 | Sparsity: 0.835 | StepTime: 71.849s
Step 0060 | Loss: 0.130033 | Recall@32: 1.000 | Sparsity: 0.845 | StepTime: 60.990s
Saved checkpoint: checkpoints/c2fab_weights_step_060.pt
Step 0061 | Loss: 0.130260 | Recall@32: 1.000 | Sparsity: 0.846 | StepTime: 39.312s
Step 0062 | Loss: 0.133592 | Recall@32: 1.000 | Sparsity: 0.777 | StepTime: 50.510s
Step 0063 | Loss: 0.134750 | Recall@32: 1.000 | Sparsity: 0.764 | StepTime: 87.823s
Step 0064 | Loss: 0.132261 | Recall@32: 1.000 | Sparsity: 0.806 | StepTime: 73.610s
Step 0065 | Loss: 0.130421 | Recall@32: 1.000 | Sparsity: 0.845 | StepTime: 66.720s
Step 0066 | Loss: 0.132887 | Recall@32: 1.000 | Sparsity: 0.800 | StepTime: 69.225s
Step 0067 | Loss: 0.130423 | Recall@32: 1.000 | Sparsity: 0.847 | StepTime: 56.888s
Step 0068 | Loss: 0.129069 | Recall@32: 1.000 | Sparsity: 0.868 | StepTime: 72.526s
Step 0069 | Loss: 0.129652 | Recall@32: 1.000 | Sparsity: 0.852 | StepTime: 47.412s
Step 0070 | Loss: 0.136076 | Recall@32: 1.000 | Sparsity: 0.745 | StepTime: 34.408s
Step 0071 | Loss: 0.132833 | Recall@32: 1.000 | Sparsity: 0.805 | StepTime: 55.714s
Step 0072 | Loss: 0.128225 | Recall@32: 1.000 | Sparsity: 0.876 | StepTime: 60.435s
Step 0073 | Loss: 0.129924 | Recall@32: 1.000 | Sparsity: 0.852 | StepTime: 47.674s
Step 0074 | Loss: 0.130795 | Recall@32: 1.000 | Sparsity: 0.839 | StepTime: 48.610s
Step 0075 | Loss: 0.130730 | Recall@32: 1.000 | Sparsity: 0.835 | StepTime: 66.212s
Step 0076 | Loss: 0.129137 | Recall@32: 1.000 | Sparsity: 0.863 | StepTime: 65.588s
Step 0077 | Loss: 0.134978 | Recall@32: 1.000 | Sparsity: 0.757 | StepTime: 66.698s
Step 0078 | Loss: 0.131057 | Recall@32: 1.000 | Sparsity: 0.840 | StepTime: 77.760s
Step 0079 | Loss: 0.133948 | Recall@32: 1.000 | Sparsity: 0.781 | StepTime: 74.746s
Step 0080 | Loss: 0.134886 | Recall@32: 1.000 | Sparsity: 0.765 | StepTime: 69.215s
Saved checkpoint: checkpoints/c2fab_weights_step_080.pt
Step 0081 | Loss: 0.133949 | Recall@32: 1.000 | Sparsity: 0.781 | StepTime: 57.416s
Step 0082 | Loss: 0.130732 | Recall@32: 1.000 | Sparsity: 0.843 | StepTime: 77.016s
Step 0083 | Loss: 0.134307 | Recall@32: 1.000 | Sparsity: 0.777 | StepTime: 76.808s
Step 0084 | Loss: 0.135022 | Recall@32: 1.000 | Sparsity: 0.763 | StepTime: 47.899s
Step 0085 | Loss: 0.134798 | Recall@32: 1.000 | Sparsity: 0.767 | StepTime: 63.988s
Step 0086 | Loss: 0.134125 | Recall@32: 1.000 | Sparsity: 0.775 | StepTime: 81.509s
Step 0087 | Loss: 0.132134 | Recall@32: 1.000 | Sparsity: 0.807 | StepTime: 56.473s
Step 0088 | Loss: 0.133630 | Recall@32: 1.000 | Sparsity: 0.783 | StepTime: 69.798s
